
source:false-JA;target:偽
source:true-JA;target:真
source:password-JA;target:パスワード
source:false-ZH;target:假
source:true-ZH;target:是的
source:password-ZH;target:密码
source:Indicates if work log exists for the assignment.-JA;target:代入の作業ログが存在するかどうかを示します。
source:WORKLOG-JA;target:仕事をする
source:Indicates if work log exists for the assignment.-ZH;target:指示分配是否存在工作日志。
source:WORKLOG-ZH;target:工作
source:Clear-JA;target:クリア
source:Symbol   Meaning                 Presentation        Example\n------   -------                 ------------        -------\nG        era designator          (Text)              AD\ny        year                    (Number)            1996\nM        month in year           (Text and Number)     July and 07\nd        day in month            (Number)            10\nh        hour in am/pm (1-12)    (Number)            12\nH        hour in day (0-23)      (Number)            0\nm        minute in hour          (Number)            30\ns        second in minute        (Number)            55\nS        millisecond             (Number)            978\nE        day in week             (Text)              Tuesday\nD        day in year             (Number)            189\nF        day of week in month    (Number)            2 (2nd Wed in July)\nw        week in year            (Number)            27\nW        week in month           (Number)            2\na        am/pm marker            (Text)              PM\nk        hour in day (1-24)      (Number)            24\nK        hour in am/pm (0-11)    (Number)            0\nz        time zone               (Text)              Pacific Standard Time\n'        escape for text         (Delimiter)\n\"        single quote            (Literal)           '\n-JA;target:シンボルの意味を示します。午前10時00分（番号）0分23分（番号）30秒の分（数）分（数）55 \ ns火曜日の1日（数字）は189日曜日（数）2（第2日）7月第二週（番号）27週（番号）27 \ nW週（番号）2 \ na am / pmマーカー（テキスト）pm \ nk時間( number ) am / pm ( 0 - 11 ) ( 0 ) 0 \ nzタイムゾーン( text )太平洋標準時間\ n 'エスケープテキスト（区切り記号）\ n \“単価（リテラル）”\ n
source:<tr><td class="buyer_hdr1">MAXIMO Procurement Solutions</td></tr> <tr><td class="buyer_text">You can use these additional Maximo features to communicate with your vendors, in real time, and streamline your purchasing experience.</td></tr> <tr><td>&nbsp;</td></tr> <tr><td> <table width="96%" border="0" cellspacing="0" cellpadding="2" align="right"> <tr valign="top"> <td nowrap class="buyer_hdr2" align="right">Maximo Workflow -</td> <td class="buyer_text">Dynamically define and manage your purchasing processes and employee notification.</td> </tr> <tr valign="top"> <td nowrap class="buyer_hdr2" align="right">Desktop Requisitions -</td> <td class="buyer_text">Search and request materials from Internet storerooms, suppliers' online catalogs, and electronic commerce sites and marketplaces.</td> </tr> <tr valign="top"> <td nowrap class="buyer_hdr2" align="right">Maximo e-Commerce Adapter -</td> <td class="buyer_text">Send and receive real time transactions with suppliers, partners, and marketplaces.</td> </tr> <tr valign="top"> <td nowrap class="buyer_hdr2" align="right">Maximo OCS -</td> <td class="buyer_text">Extend Maximo procurement communication to your suppliers with Maximo Online Commerce Services.</td> </tr> </table> </td></tr> <tr><td>&nbsp;</td></tr>-JA;target:< tt >< td class =" buyersure hdr 1 "> Maximum Pocket Resolution </ td > < tr >< tr >< td class " buyerchen text " >これらの付加的な最大機能を使用して、ベンダーと通信し、購買経験を合理化することができます。TD > < tt /< tr >< td >< td >< table width =" 96 %" border = 0 " alspacing =" right " > " This NowRAP class = " buyerlose hdr 2 " align = " right " > maximo workflow -< td > < tt class =" buyerchen text ">購買プロセスと従業員通知を動的に定義し管理するインターネットStorageoms、サプライヤーのオンラインカタログからの検索と要求材料。そして、電子商取引サイトと市場は電子商取引サイトと市場です。また、最大のオンラインコマースサービスによってあなたの供給元に最大限の購買コミュニケーションを拡張しますTD > < tr >
source:Register for Maximo OCS.-JA;target:Maximo OCSに登録します。
source:Offset-JA;target:オフセット
source:Measure-JA;target:処置
source:Z Ref-JA;target:z ref
source:Y Ref-JA;target:y ref
source:新建工单-JA;target:新しいシート
source:And-JA;target:And
source:)-JA;target:)
source:+-JA;target:＋
source:In-JA;target:イン
source:--JA;target:を選択します。
source:*-JA;target:＊
source:STDDEV-JA;target:標準偏差
source:=-JA;target:を選択します。
source:Like-JA;target:ライク
source:(-JA;target:(
source:Not-JA;target:ない
source:AVG-JA;target:平均値
source:<>-JA;target:<>
source:Is Not Null-JA;target:がNULLでない
source:>-JA;target:>
source:/-JA;target:を選択します。
source:Between-JA;target:の間
source:SQRT-JA;target:SQRT会社
source:<-JA;target:<>
source:Asset-JA;target:資産
source:Deployed Asset Details-JA;target:展開資産詳細
source:OK-JA;target:OK
source:Site-JA;target:サイト
source:Linked Node ID-JA;target:リンクノードID
source:Reconciliation Differences-JA;target:和解の違い
source:Asset Attribute-JA;target:資産属性
source:DPA Attribute-JA;target:DPA属性
source:Deployed Asset Value-JA;target:資産価値
source:Unit-JA;target:ユニット
source:Reconciliation Message-JA;target:和解メッセージ
source:Reconciliation Date-JA;target:和解日付
source:Asset Value-JA;target:資産価値
source:Asset Specification-JA;target:資産仕様
source:Aln Value-JA;target:AlN値
source:Favorite Applications-JA;target:好きなアプリケーション
source:Count Frequency-JA;target:カウント頻度
source:ABC Type-JA;target:ABCタイプ
source:ABC Analysis-JA;target:ABC分析
source:Show Detail-JA;target:詳細を見る
source:Submit-JA;target:提出する
source:Cancel-JA;target:取り消し
source:Attributes-JA;target:属性
source:Details-JA;target:詳細
source:创建通知-JA;target:通知の作成
source:Refresh Status-JA;target:ステータスを更新する
source:Turn Admin Mode OFF-JA;target:管理モードをオフにする
source:Cancel Admin Mode-JA;target:管理モードを取り消す
source:Excluded Password List-JA;target:除外パスワードリスト
source:New Row-JA;target:新しい列
source:Is Null-JA;target:がNULL
source:Or-JA;target:Or
source:>=-JA;target:>=
source:<=-JA;target:<=
source:MAX-JA;target:マックス
source:Turn Admin Mode ON-JA;target:アドオンモードをオンにする
source:Update Properties-JA;target:プロパティの更新
source:EXP-JA;target:経験値
source:MIN-JA;target:分
source:More Information-JA;target:詳細情報
source:User Defaults-JA;target:ユーザのデフォルト
source:Login Tracking-JA;target:ログイン追跡
source:Automatic Password Generation-JA;target:自動パスワード生成
source:Always E-mail Generated Passwords to Users (Never Display On Screen)-JA;target:常に電子メールは、ユーザーにパスワードを生成（画面上に表示されません）
source:Password Generation Display-JA;target:パスワード生成ディスプレイ
source:Allow Generated Passwords to Be Displayed On Screen-JA;target:生成されたパスワードを画面に表示する
source:Password Requirements-JA;target:パスワード要件
source:Required Password Characters-JA;target:必須パスワード文字
source:Allowed Placement of Password Characters-JA;target:パスワード文字の許可
source:BIRT Reports-JA;target:バートレポート
source:Select Row {0}-JA;target:行{ 0 }を選択
source:Quick Insert-JA;target:クイックインサート
source:Go To %1-JA;target:% 1に移動
source:Bulletin Board-JA;target:掲示板です
source:KPI Graph-JA;target:KPIグラフ
source:新建服务请求-JA;target:新規サービス要求
source:KPI List-JA;target:KPI一覧
source:administrator-JA;target:管理者
source:Role ID-JA;target:役割ID
source:Inbox / Assignments-JA;target:インボックス
source:Non-Accept Message-JA;target:非承諾メッセージ
source:Owner Table-JA;target:オーナーテーブル
source:Assignee Relationship-JA;target:譲受人関係
source:Time Limit-JA;target:時間制限
source:Extra Field 2-JA;target:エクストラフィールド2
source:Extra Field 1-JA;target:エキストラフィールド1
source:Custom Class-JA;target:カスタムクラス
source:Extra Field 5-JA;target:エキストラフィールド5
source:Last Memo-JA;target:最後のメモ
source:Extra Field 4-JA;target:エクストラフィールド4
source:Extra Field 3-JA;target:エクストラフィールド3
source:Current Memo-JA;target:現在のメモ
source:Separate Groups-JA;target:別グループ
source:Owner ID-JA;target:オーナーID
source:Group #-JA;target:グループ
source:WFASSIGNMENTID-JA;target:仕事の割り当て
source:Locked By-JA;target:ロック
source:Accept Expression-JA;target:表現を受け入れる
source:Condition Class-JA;target:コンディションクラス
source:Assignment Status-JA;target:割り当てステータス
source:Due Date-JA;target:期限
source:Assignment-JA;target:代入
source:Expression-JA;target:表現
source:Has Long Description-JA;target:説明が長い
source:Calendar Based-JA;target:カレンダーベース
source:Owner Description-JA;target:所有者説明
source:Application-JA;target:アプリケーション
source:Node ID-JA;target:ノードID
source:Assigned Person Code-JA;target:割り当て人物コード
source:Send E-mail-JA;target:メール送信
source:Process Revision-JA;target:工程改正
source:Original Assignee-JA;target:原作者
source:Language Code-JA;target:言語コード
source:Start Date-JA;target:開始日
source:Description-JA;target:説明
source:Workflow ID-JA;target:ワークフローID
source:Object-JA;target:オブジェクト
source:Process-JA;target:プロセス
source:Display One-JA;target:ディスプレイワン
source:Condition Code-JA;target:条件コード
source:Preserve Original Assignment when Delegating-JA;target:委任時に元の代入を保存する
source:Is Owner Locked-JA;target:所有者ロック
source:Host Name-JA;target:ホスト名
source:Escalation Role-JA;target:エスカレーションロール
source:Communication Template-JA;target:コミュニケーションテンプレート
source:Priority-JA;target:優先度
source:Reschedule-JA;target:再スケジューリング
source:Reschedule Work-JA;target:再編成作業
source:The selected work is outside of the work list's date range.-JA;target:選択された作業は、作業リストの日付範囲外です。
source:Select a date within the work list's start and end dates or expand the work list's date range.-JA;target:作業リストの開始日と終了日の日付を選択したり、ワークリストの日付範囲を展開します。
source:Adjust Crew Assignments-JA;target:乗組員割り当て
source:To change the resource assignments in the crew, select the appropriate criteria and click Next.-JA;target:乗組員のリソース割り当てを変更するには、適切な基準を選択し、「次へ」をクリックします。
source:with Asset-JA;target:資産で
source:Remove-JA;target:取り外し
source:Next-JA;target:次
source:Replace-JA;target:置換
source:Temporarily Replace Asset-JA;target:一時的に資産を交換する
source:Remove from-JA;target:から取り除く
source:Temporarily-JA;target:一時的
source:Permanently Remove Labor-JA;target:労働を永久に取り除く
source:Name-JA;target:名称
source:Permanently Replace Labor-JA;target:永久交換労働
source:Permanently Add Labor-JA;target:永久労働を加える
source:Labor-JA;target:労働
source:Temporarily Add Asset-JA;target:一時的に資産を追加する
source:Temporarily Replace Labor-JA;target:一時的に交代労働
source:Remove till-JA;target:まで
source:Tools-JA;target:工具
source:Temporarily Remove Labor-JA;target:一時的に労働を取り除く
source:Close-JA;target:クローズ
source:Permanently Remove Asset-JA;target:永久資産を取り除く
source:Permanently Replace Asset-JA;target:永久に資産を交換する
source:Add-JA;target:追加
source:Permanently Add Asset-JA;target:永久資産を追加する
source:Permanently-JA;target:永久に
source:Temporarily Add Labor-JA;target:一時的に労働を加える
source:with Labor-JA;target:労働で
source:Temporarily Remove Asset-JA;target:一時的に資産を除去する
source:Tool-JA;target:工具
source:Clear-ZH;target:清除
